num,original,verified,author,status
206,It's your turn...again! More incredibly successful games and activities for the elementary music class,It's your turn...again! More incredibly successful games and activities for the elementary music class,Cheryl Lavender,not found
207,It's your turn- A collection of incredibly successful games and activities for the elementary music class,It's your turn- A collection of incredibly successful games and activities for the elementary music class,Cheryl Lavender,not found
208,A galaxy of games for the music room,A galaxy of games for the music room,Margaret Athey and Gwen Hotchkiss,not found
209,"Swinging on the Bars- A collection of Jazz Standards arranged for xylophone, metallophones, solo b flat and e flat instruments, percussion and voice","Swinging on the Bars- A collection of Jazz Standards arranged for xylophone, metallophones, solo b flat and e flat instruments, percussion and voice",Ronald Carter and Glenda Cosenza,not found
210,Mindfulness and Movement- yoga card set,Mindfulness and Movement- yoga card set,3 sisters yoga for kids,not found
211,Reflections of Canada- Singing in the Circle Series- Cypress Choral Music,Reflections of Canada- Singing in the Circle Series- Cypress Choral Music,Dr. Ardelle Ries,not found
212,"Spice it up- Songs, Dances, Games and Orff Accompaniments for Elementary and Middle School Students","Spice it up- Songs, Dances, Games and Orff Accompaniments for Elementary and Middle School Students",Konnie Saliba,not found
213,Come a Sinigng! Canadian Folk Songs,Come a Sinigng! Canadian Folk Songs,"Marius Barbeau, Arthur Lismer, Arthur Bourinot- National Museum of Canada",not found
214,Flying a Round- 88 Rounds and Partner Songs,Flying a Round- 88 Rounds and Partner Songs,David Gadsby and Beatric Harrop,not found
215,Lesson planning in a Kodaly Context- A Guide for Music Teachers,Lesson planning in a Kodaly Context- A Guide for Music Teachers,Rita Klinger-OAKE,not found
216,"Listen, Sing and Play- Senior Infants Lessons 1-10","Listen, Sing and Play- Senior Infants Lessons 1-10",Maureen Lally,not found
217,Music Fun- Book 1,Music Fun- Book 1,Marion Kurutz and Grace Reever,not found
218,Strictly Warm-Ups- Vol. 1,Strictly Warm-Ups- Vol. 1,Kerry Heisler,not found
219,"Come Join In- 52 New Rounds, Partner Songs and Short Songs","Come Join In- 52 New Rounds, Partner Songs and Short Songs",Elizabeth Glipatrick,not found
220,Victoria sings short stuff- Small songs for community singing,Victoria sings short stuff- Small songs for community singing,,not found
221,Round we Go- 40 new rounds with activities for younger singers,Round we Go- 40 new rounds with activities for younger singers,Elizabeth Glipatrick,not found
222,Mike Brewer's Warm-Ups!- The indispensable handbook for singers and choral directors,Mike Brewer's Warm-Ups!- The indispensable handbook for singers and choral directors,Mike Brewer,not found
223,Children Who Dance- A Handbook for Teachers of Elementary School Children,Children Who Dance- A Handbook for Teachers of Elementary School Children,Sally Carline- coursepack,not found
224,Let's Do it Again- Vol 1,Let's Do it Again- Vol 1,Donna Otto and David Asplund,not found
225,Let's Do it Again- Vol 2,Let's Do it Again- Vol 2,Donna Otto and David Asplund,not found
226,Let's Do it Again- Vol 3,Let's Do it Again- Vol 3,Donna Otto and David Asplund,not found
227,Calgary orff handbook 1988,Calgary orff handbook 1988,,not found
228,Successful warm ups book 1,Successful warm ups book 1,Nancy Telfer,not found
229,When I First Came to this Land,When I First Came to this Land,Catherine West,not found
230,Music for Little Mozarts- Teachers Handbook for Books 3 and 4,Music for Little Mozarts- Teachers Handbook for Books 3 and 4,"Christine Barden, Gayle Kowalchyk, EL Lancaster",not found
231,Music for Little Mozarts- Muisc Discovery Book 1,Music for Little Mozarts- Muisc Discovery Book 1,"Christine Barden, Gayle Kowalchyk, EL Lancaster",not found
232,Sounds We Found,Sounds We Found,Barbara Mariconda and Denise Puccio,not found
233,The Body Electric- A Symphony of Sounds for Body Percussion,The Body Electric- A Symphony of Sounds for Body Percussion,Mark Burrows,not found
234,Alphabetically Yours- 26 Short Fragments for piano- Suitable for Adult Beginners,Alphabetically Yours- 26 Short Fragments for piano- Suitable for Adult Beginners,Joan Last,not found
235,Everybody Sings- All the words to all the songs in the Reader's Digest Canadian Family Songbook,Everybody Sings- All the words to all the songs in the Reader's Digest Canadian Family Songbook,Reader's Digest,not found
236,The Stradivarius Code- Crack the Codes to explore the history of musical instruments,The Stradivarius Code- Crack the Codes to explore the history of musical instruments,Barbara Meeks and Geoff Lorenz,not found
237,The Beethoven Code- Crack the codes to explore the loves of famous composers,The Beethoven Code- Crack the codes to explore the loves of famous composers,Barbara Meeks and Geoff Lorenz,not found
238,Music encounters- theory book for group music theory classes,Music encounters- theory book for group music theory classes,June Montgomery and Martha Mier,not found
239,Holiday Singing and Dancing Games,Holiday Singing and Dancing Games,Ester Nelson,not found
240,Critters and Other Creatures- A Collection of Songs and Poems for Children,Critters and Other Creatures- A Collection of Songs and Poems for Children,Konnie Saliba,not found
241,Let's Sing! Let's Dance! Let's Play- Songs and Dances arranged for Orff Instruments,Let's Sing! Let's Dance! Let's Play- Songs and Dances arranged for Orff Instruments,Alice Olsen,not found
242,Music from Many Lands- Folk songs of the world for Orff Instruments,Music from Many Lands- Folk songs of the world for Orff Instruments,Alice Olsen,not found
243,Look What Followed Me Home!- and other songs for Children- arranged for orff instruments,Look What Followed Me Home!- and other songs for Children- arranged for orff instruments,Alice Olsen,not found
244,Monster Stew- Songs and poems arranged for Orff instruments,Monster Stew- Songs and poems arranged for Orff instruments,Alice Olsen,not found
245,Island Dreams- Songs for steel drums and orff instruments,Island Dreams- Songs for steel drums and orff instruments,Alice Olsen,not found
246,Animals All Around and other songs,Animals All Around and other songs,Alice Olsen,not found
247,Make and Play- Easy instructions for producing simple instruments in the elementary music classroom- Multicultural performance plays and music included,Make and Play- Easy instructions for producing simple instruments in the elementary music classroom- Multicultural performance plays and music included,Valeaira Luppens,not found
248,Jean Ritchie's Kentucky Mother Goose,Jean Ritchie's Kentucky Mother Goose,Jean Ritchie and Susan Brumfield,not found
249,"Music is Fun- Grade 4- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers","Music is Fun- Grade 4- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers",On the Mark,not found
250,"Music is Fun- Grade 5- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers","Music is Fun- Grade 5- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers",On the Mark,not found
251,"Music is Fun- Grade 6- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers","Music is Fun- Grade 6- Explore the world of music to learn about notes, values, beat, symbols, rhythm, musical instruments and composers",On the Mark,not found
252,Junior music for fall- Music made easy series,Junior music for fall- Music made easy series,On the Mark,not found
253,Junior music for spring- Music made easy series,Junior music for spring- Music made easy series,On the Mark,not found
254,Conversational Solfege- Teacher's Manual- Level 1,Conversational Solfege- Teacher's Manual- Level 1,John Feierabend,not found
255,First Steps in Music- for Preschool and Beyond- The Curriculum,First Steps in Music- for Preschool and Beyond- The Curriculum,John Feierabend,not found
256,The Book of Playground songs and Rhymes,The Book of Playground songs and Rhymes,John Feierabend,not found
257,The book of Beginning Circle Games- Let's Make a Circle,The book of Beginning Circle Games- Let's Make a Circle,John Feierabend,not found
258,The Book of Children's Songtales- Stories in Songs,The Book of Children's Songtales- Stories in Songs,John Feierabend,not found
259,The book of Songs and Rhymes with Beat Motions- Keeping the Beat,The book of Songs and Rhymes with Beat Motions- Keeping the Beat,John Feierabend,not found
260,The book of Fingerplays and Actions Songs- Let's Pretend,The book of Fingerplays and Actions Songs- Let's Pretend,John Feierabend,not found
261,The Book of Movement Exploration,The Book of Movement Exploration,John Feierabend,not found
262,The Book of Echo Songs- I'll Sing After You,The Book of Echo Songs- I'll Sing After You,John Feierabend,not found
263,The Book of Call and Response,The Book of Call and Response,John Feierabend,not found
264,The Book of Pitch Exploration,The Book of Pitch Exploration,John Feierabend,not found
265,First Steps in Music- for Infants and Toddlers- The Curriculum- Birth through 36 Months,First Steps in Music- for Infants and Toddlers- The Curriculum- Birth through 36 Months,John Feierabend,not found
266,The Big Book of Children's Songs,The Big Book of Children's Songs,Hal Leonard,not found
267,In the Groove- A Guide to Interactive Music Making,In the Groove- A Guide to Interactive Music Making,Tippy Agogo,not found
268,Musicplay- Kindergarten Music Program- Teacher's Guide,Musicplay- Kindergarten Music Program- Teacher's Guide,Denise Gagne,not found
269,From Wibbleton to Wobbleton- Adventures with the elements of music and movement,From Wibbleton to Wobbleton- Adventures with the elements of music and movement,James Harding,not found
270,The Magic of Music- Book 1,The Magic of Music- Book 1,Ginn and Company,not found
271,The Magic of Music- Kindergarten,The Magic of Music- Kindergarten,,not found
272,"The Joy of Music- Early Childhood- A comprehensive book of music, activities and instruction","The Joy of Music- Early Childhood- A comprehensive book of music, activities and instruction",,not found
273,Cornstalk Fiddle and Other Homemade Instruments,Cornstalk Fiddle and Other Homemade Instruments,Dallas Cline,not found
274,Music Together Teacher's Guide- Drum,Music Together Teacher's Guide- Drum,,not found
275,Music Together Teacher's Guide- Maracas,Music Together Teacher's Guide- Maracas,,not found
276,Music Together Teacher's Guide- Fiddle,Music Together Teacher's Guide- Fiddle,,not found
277,Music Together Teacher's Guide- Flute,Music Together Teacher's Guide- Flute,,not found
278,Music Together Teacher's Guide- bongos,Music Together Teacher's Guide- bongos,,not found
279,Music Together Teacher's Guide- Triangle,Music Together Teacher's Guide- Triangle,,not found
280,"Step it Down- Games, Plays, Songs and Stories from the Afro-American Heritage","Step it Down- Games, Plays, Songs and Stories from the Afro-American Heritage",Bessie Jones and Bess Lomax Hawes,not found
281,"Step it Down- Games, Plays, Songs and Stories from the Afro-American Heritage","Step it Down- Games, Plays, Songs and Stories from the Afro-American Heritage",Bessie Jones and Bess Lomax Hawes,not found
282,Music Experiences in Early Childhood,Music Experiences in Early Childhood,Barbara Andress,not found
283,Stories that Sing,Stories that Sing,,not found
284,Stories and so Much More,Stories and so Much More,,not found
285,Making music fun for little ones- book 3,Making music fun for little ones- book 3,Noble and Stener,not found
286,Fall and Winter Songs- Book 2- Making music and literacy fun for little ones- New version,Fall and Winter Songs- Book 2- Making music and literacy fun for little ones- New version,Noble and Stener,not found
287,Making music fun for little ones- book 2- Winter- Music to promote literacy in children 2-5 years old- new version,Making music fun for little ones- book 2- Winter- Music to promote literacy in children 2-5 years old- new version,,not found
288,Making music fun for little ones- book 1- Music to promote literacy in children 2-5 years old- new version,Making music fun for little ones- book 1- Music to promote literacy in children 2-5 years old- new version,Noble and Stener,not found
289,Making music fun for little ones- book 1- Music to promote literacy in children 2-5 years old- new version,Making music fun for little ones- book 1- Music to promote literacy in children 2-5 years old- new version,,not found
290,"Stories and Nursery Rhymes to Sing, Rap and Read- Making Muisc and literacy fun for little ones- new version","Stories and Nursery Rhymes to Sing, Rap and Read- Making Muisc and literacy fun for little ones- new version",,not found
291,Movement and music in the classroom-Includes music from Greg and Steve- pre K,Movement and music in the classroom-Includes music from Greg and Steve- pre K,Steven Traugh,not found
292,2nd copy,2nd copy,,not found
293,"Kids can listen, Kids can move!","Kids can listen, Kids can move!",Lynn Kleiner,not found
294,Wee Sing for Baby,Wee Sing for Baby,Pamela Conn Beall and Susan Hagan Nipp,not found
295,We love to move- Action and games songs for early childhood from the musicplay kindergarten curriculum,We love to move- Action and games songs for early childhood from the musicplay kindergarten curriculum,Denise Gagne,not found
296,Hear and Listen! Talk and Sing!- Songs for young children who are hearing impaired and others who need help learning to talk,Hear and Listen! Talk and Sing!- Songs for young children who are hearing impaired and others who need help learning to talk,Warren Estabrooks adn Lois Birkenshaw-Fleming,not found
297,"Melody, Movement and Language- A Teacher's Guide of music in game form for the pre-school and primary grades","Melody, Movement and Language- A Teacher's Guide of music in game form for the pre-school and primary grades",Millie Burnett,not found
298,"Eye Winker, Tom Tinker, Chin Chopper- 50 Musical Fingerplays with Piano arrangement and Guitar Chords","Eye Winker, Tom Tinker, Chin Chopper- 50 Musical Fingerplays with Piano arrangement and Guitar Chords",Tom Glazer,not found
299,Kodaly in Kindergarten- 50 Lesson Plans Curriculum song collection,Kodaly in Kindergarten- 50 Lesson Plans Curriculum song collection,Katinka Scipiades Daniel,not found
300,The choral warm-up collection- A sourcebook of 167 choral warmups contributed by 51 choral directors,The choral warm-up collection- A sourcebook of 167 choral warmups contributed by 51 choral directors,Sally Albrecht,not found
301,"My little rooster- and other folk songs, singing games and play parties","My little rooster- and other folk songs, singing games and play parties",Jill Trinka,not found
302,Let your voice be heard- Songs from Ghana and Zimbabwe,Let your voice be heard- Songs from Ghana and Zimbabwe,"Abraham Adzenyah, Dumisai Maraire, Judith Cook Tucker",not found
303,Charlotte Diamond's Musical Treasures- A Songbook with activities for teachers and families,Charlotte Diamond's Musical Treasures- A Songbook with activities for teachers and families,,not found
304,The complete choral warm up book- A sourcebook for choral directors,The complete choral warm up book- A sourcebook for choral directors,Russell Robinson and Jay Althouse,not found
305,Songs of the Sun- Filipino Folk Songs for the Musical Classroom,Songs of the Sun- Filipino Folk Songs for the Musical Classroom,Tiffany Unaree Barry,not found
306,Move sing listen play- Preparing the young child for music- revised edition,Move sing listen play- Preparing the young child for music- revised edition,Donna Wood,not found
307,Move sing listen play- Preparing the young child for music- revised edition,Move sing listen play- Preparing the young child for music- revised edition,Donna Wood,not found
308,Growing with Music- Friendly Bear's Songbook- Music Activities for Young Children- updated edition,Growing with Music- Friendly Bear's Songbook- Music Activities for Young Children- updated edition,,not found
309,Language through music,Language through music,"Luther, McPherson, Milller and Ray",not found
310,Making music together,Making music together,Kindermusik,not found
311,Music and movement in the classroom- Grades 1-2,Music and movement in the classroom- Grades 1-2,,not found
312,Canadian folks songs for the young,Canadian folks songs for the young,Barbara Cass-Beggs,not found
313,A developmental music programme (kodaly based) stage one,A developmental music programme (kodaly based) stage one,Deamma Hoermann,not found
314,"Ring Around the Moon- 200 songs, tongue twisters, riddles, and rhymes for children","Ring Around the Moon- 200 songs, tongue twisters, riddles, and rhymes for children",Edith Fowke,not found
315,Oranges and Lemons,Oranges and Lemons,Karen King,not found
316,The singing book -second level- A music book based on the educational principles of Zoltan Kodaly,The singing book -second level- A music book based on the educational principles of Zoltan Kodaly,Mary Alice Hein and Lois Choksy,not found
317,Primary pre-primary songs and verses and orff arrangements,Primary pre-primary songs and verses and orff arrangements,Grace Nash,not found
318,"Rounds for Children- Over 100 rounds in 2, 3 and 4 parts.","Rounds for Children- Over 100 rounds in 2, 3 and 4 parts.",Amsco publishers,not found
319,Music with Children- beginners to advanced- Series 1- elementary- Teacher's Book,Music with Children- beginners to advanced- Series 1- elementary- Teacher's Book,Grace Nash,not found
320,Music with Children- beginners to advanced- Series 1- elementary- Teacher's Book,Music with Children- beginners to advanced- Series 1- elementary- Teacher's Book,Grace Nash,not found
321,Music with Children- primary to fourth- Series 2- elementary- Teacher's Book and student book,Music with Children- primary to fourth- Series 2- elementary- Teacher's Book and student book,Grace Nash,not found
322,More Verses and Movement for the Classroom- Teacher's Book,More Verses and Movement for the Classroom- Teacher's Book,Grace Nash,not found
323,"Today with Music- Experiences into reading with speech, song, instruments and movement","Today with Music- Experiences into reading with speech, song, instruments and movement",Grace Nash,not found
324,Music with Children- The creative approach to music education- Teacher's Manual,Music with Children- The creative approach to music education- Teacher's Manual,Grace Nash,not found
325,Orff-Schulwerk- Music for Children- Teacher's Manual,Orff-Schulwerk- Music for Children- Teacher's Manual,Doreen Hall,not found
326,Music education aids- Outils d'education musicale,Music education aids- Outils d'education musicale,Therese Potivn,not found
327,Pieces and Processes- A supplement to Music for Children,Pieces and Processes- A supplement to Music for Children,Steven Calantropio,not found
328,Round and Round the Garden- Play rhymes for young children,Round and Round the Garden- Play rhymes for young children,Ian Beck and Sarah Williams,not found
329,"Bounce high bounce low- My first music book- songs to sing, notes to draw, games to play, pictures to color","Bounce high bounce low- My first music book- songs to sing, notes to draw, games to play, pictures to color",Edith Lantos,not found
330,"Sing an Irish Song- Music, words and chord","Sing an Irish Song- Music, words and chord",Danmac,not found
331,Orffestrations of the Masters,Orffestrations of the Masters,Linda Forrest,not found
332,Operation Orff- Mission It's Possible- An investigative adventure,Operation Orff- Mission It's Possible- An investigative adventure,"Trevor Brandenburg, Dr. Bob de Frece, Sue Harvie, Scott Kupsch, Howard McKary, Judy Sills",not found
333,How to read music,How to read music,Alan Charlton,not found
334,The First Days of School- How to Be an Effective Teacher,The First Days of School- How to Be an Effective Teacher,Harry Wong and Rosemary Wong,not found
335,The kids multicultural art book,The kids multicultural art book,Alexandra Michaels,not found
336,"Waterloo Rhythm Band Method- Teacher's manual and scored music- nursery rhymes, folk tunes, classic pieces","Waterloo Rhythm Band Method- Teacher's manual and scored music- nursery rhymes, folk tunes, classic pieces",Gladys Dickson/Hazel Baggs,not found
337,Baroque Time- pieces and dance- Soprano and Alto recorders,Baroque Time- pieces and dance- Soprano and Alto recorders,Gerald Burakoff and Willy Strickland,not found
338,"Mickey's Favorite Children's Songs- Voice, piano, guitar- 172 songs","Mickey's Favorite Children's Songs- Voice, piano, guitar- 172 songs",Disney,not found
339,Brain Compatible Dance Education,Brain Compatible Dance Education,Anne Green Gilbert,not found
340,Creative Dance for all Ages,Creative Dance for all Ages,Anne Green Gilbert,not found
341,Recorder Today- Teach yourself the easy way,Recorder Today- Teach yourself the easy way,Hal Leonard,not found
342,Recorder Routes II- Extending Recorder Skills in Orff Classes- Pieces and Processes,Recorder Routes II- Extending Recorder Skills in Orff Classes- Pieces and Processes,Carol King,not found
343,Spotlight on Music- Recorder- Grades 3-4- Blackline Masters and Teacher's Manual,Spotlight on Music- Recorder- Grades 3-4- Blackline Masters and Teacher's Manual,MacMillan/McGraw Hill- Virginia Ebinger,not found
344,Spotlight on Music- Recorder- Grades 5-6- Blackline Masters and Teacher's Manual,Spotlight on Music- Recorder- Grades 5-6- Blackline Masters and Teacher's Manual,,not found
345,Selections from Star Wars for Recorder,Selections from Star Wars for Recorder,Alfred,not found
346,"Irish Music for Recorder- Easy new arrangements, by Robin De Smet, of famous Irish Songs and melodies","Irish Music for Recorder- Easy new arrangements, by Robin De Smet, of famous Irish Songs and melodies",,not found
347,Selections from Harry Potter for Recorder,Selections from Harry Potter for Recorder,Alfred,not found
348,The sound of music- Recorder,The sound of music- Recorder,Hal Leonard,not found
349,Recorder for Beginners- Book 1- Music with Children,Recorder for Beginners- Book 1- Music with Children,Grace Nash,not found
350,Music- A way of life for the young child,Music- A way of life for the young child,Kathleen Bayless and Marjorie Ramsey,not found
351,The music book- Teacher's Reference Book,The music book- Teacher's Reference Book,Eunice Boardman and Barbara Andress,not found
352,"The eentsy, Weentsy Spider- Fingerplans and Action Rhymes","The eentsy, Weentsy Spider- Fingerplans and Action Rhymes",Joanna Cole and Stephanie Calmenson,not found
353,"Elephant Jam- Sharon, Lois and Bram","Elephant Jam- Sharon, Lois and Bram",,not found
354,"Listen, look and sing- Vol. 1- Teacher's Edition","Listen, look and sing- Vol. 1- Teacher's Edition",Aden Lewis,not found
355,"Listen, look and sing- Vol. 2- Teacher's Edition","Listen, look and sing- Vol. 2- Teacher's Edition",Aden Lewis,not found
356,"Listen, look and sing- Vol. 3- Teacher's Edition","Listen, look and sing- Vol. 3- Teacher's Edition",Aden Lewis,not found
357,"Listen, look and sing- Vol. 4- Teacher's Edition","Listen, look and sing- Vol. 4- Teacher's Edition",Aden Lewis,not found
358,Exercices de lecture- Introduction a la musique de la chanson folklorique francaise selon la pedagogie kodalienne- deuxieme cahier,Exercices de lecture- Introduction a la musique de la chanson folklorique francaise selon la pedagogie kodalienne- deuxieme cahier,Richard Proulx,not found
359,French folk songs children love,French folk songs children love,Compiled by Kim Kun,not found
360,Hooray for Singing- Part Singing Adventures for Upper Elementary and Middle School,Hooray for Singing- Part Singing Adventures for Upper Elementary and Middle School,Robert de Frece,not found
361,Mes Chansons a musique- A- Teacher's Guide,Mes Chansons a musique- A- Teacher's Guide,Therese Potvin,not found
362,Mes Chansons a musique- A- Student Book,Mes Chansons a musique- A- Student Book,Therese Potvin,not found
363,Mes Chansons a musique- B- Teacher's Guide,Mes Chansons a musique- B- Teacher's Guide,Therese Potvin,not found
364,"Music for Fun, Music for Learning- Fourth Ed","Music for Fun, Music for Learning- Fourth Ed",Lois Birkenshaw,not found
365,Teacher guides to Beethoven lives upstairs and Mr. Bach comes to call,Teacher guides to Beethoven lives upstairs and Mr. Bach comes to call,Classical kids teacher guides,not found
366,120 singing games and dances for elementary school,120 singing games and dances for elementary school,Lois Choksy and David Brummit,not found
367,First 50 Kids' songs you should play on ukulele,First 50 Kids' songs you should play on ukulele,Hal Leonard,not found
368,Little Ukers- A comprehensive ukulele method for young students- 2nd edition- Level 1- C Tuning- (low) G C E A,Little Ukers- A comprehensive ukulele method for young students- 2nd edition- Level 1- C Tuning- (low) G C E A,Melissa McKnight,not found
369,Les Bucherons- Rendez-Vous Program Guide,Les Bucherons- Rendez-Vous Program Guide,,not found
370,Sing and Play on Special Days,Sing and Play on Special Days,Denise Gagne,not found
371,Songs of Joy- Reproducible music for Elementary Choir,Songs of Joy- Reproducible music for Elementary Choir,Craig Cassils,not found
372,Alphabet Action Songs,Alphabet Action Songs,Denise Gagne,not found
373,Alphabet Action Songs,Alphabet Action Songs,Denise Gagne,not found
374,Movement Songs Children Love,Movement Songs Children Love,Denise Gagne,not found
375,Action Songs Children Love- Vol. 3 -Grades 2-5,Action Songs Children Love- Vol. 3 -Grades 2-5,Denise Gagne,not found
376,Action Songs Children Love- Vol. 3 -Grades 2-5,Action Songs Children Love- Vol. 3 -Grades 2-5,Denise Gagne,not found
